year,faculty,plan_code,degree_abbrev,specialisation,variant,study_year,credits_ideal,credits_unresolved_slots,credits_stated,stated_is_minimum,credit_delta,fee_ideal_zar,fee_estimated_component_zar,fee_slots_missing,fee_published_zar,fee_published_label,fee_match_method,fee_delta_pct
2021,COM,CB019BUS01,BCom,Actuarial Science,regular,2,186,0,186,False,0,87680,0,0,86900,BCom specialising in Actuarial Science,label_match,0.9
2021,COM,CB019BUS01,BCom,Actuarial Science,regular,3,162,0,162,False,0,77540,0,0,84020,BCom specialising in Actuarial Science,label_match,-7.7
2021,COM,CB019BUS09,BCom,Actuarial Science: Quantitative Finance,regular,1,185,0,185,False,0,85250,0,0,85250,BCom specialising in Actuarial Science Quantitative Finance Stream,label_match,0.0
2021,COM,CB019BUS09,BCom,Actuarial Science: Quantitative Finance,regular,2,186,0,186,False,0,87680,0,0,86900,BCom specialising in Actuarial Science Quantitative Finance Stream,label_match,0.9
2021,COM,CB019BUS09,BCom,Actuarial Science: Quantitative Finance,regular,3,180,0,180,False,0,84020,0,0,84020,BCom specialising in Actuarial Science Quantitative Finance Stream,label_match,0.0
2021,COM,CB020BUS01,BCom,Actuarial Science,extended,1,113,0,113,False,0,51290,0,0,51290,BCom Academic Development specialising in Actuarial Science,ad_duration,0.0
2021,COM,CB020BUS01,BCom,Actuarial Science,extended,2,108,0,108,False,0,51290,0,0,51290,BCom Academic Development specialising in Actuarial Science,ad_duration,0.0
2021,COM,CB020BUS01,BCom,Actuarial Science,extended,3,150,0,150,False,0,70480,0,0,70480,BCom Academic Development specialising in Actuarial Science,ad_duration,0.0
2021,COM,CB020BUS01,BCom,Actuarial Science,extended,4,162,0,162,False,0,77540,0,0,77540,BCom Academic Development specialising in Actuarial Science,ad_duration,0.0
2021,COM,CB020BUS09,BCom,Actuarial Science: Quantitative Finance,extended,1,113,0,113,False,0,51290,0,0,51290,BCom Academic Development specialising in Actuarial Science Quantitative Finance Stream,ad_duration,0.0
2021,COM,CB020BUS09,BCom,Actuarial Science: Quantitative Finance,extended,2,126,0,126,False,0,59150,0,0,59150,BCom Academic Development specialising in Actuarial Science Quantitative Finance Stream,ad_duration,0.0
2021,COM,CB020BUS09,BCom,Actuarial Science: Quantitative Finance,extended,3,132,0,132,False,0,62620,0,0,62620,BCom Academic Development specialising in Actuarial Science Quantitative Finance Stream,ad_duration,0.0
2021,COM,CB020BUS09,BCom,Actuarial Science: Quantitative Finance,extended,4,180,0,180,False,0,84020,0,0,84020,BCom Academic Development specialising in Actuarial Science Quantitative Finance Stream,ad_duration,0.0
2021,COM,CB023ACC03,BCom,Financial Accounting: Accounting with Law,augmented,1,149,0,149,False,0,68490,0,0,,,unmatched,
2021,COM,CB023ACC03,BCom,Financial Accounting: Accounting with Law,augmented,2,162,0,162,False,0,74090,0,0,,,unmatched,
2021,COM,CB023ACC03,BCom,Financial Accounting: Accounting with Law,augmented,3,144,0,144,False,0,65720,0,0,,,unmatched,
