year,faculty,plan_code,study_year,table_index,stated_total_credits,stated_total_max,is_minimum,source_page
2022,COM,CB011PHI03,4,1,162,,True,123
2022,COM,CB015BUS07,1,1,131,,False,80
2022,COM,CB015BUS07,2,1,132,,False,81
2022,COM,CB015BUS07,3,1,108,,False,81
2022,COM,CB015BUS07,4,1,144,,False,81
2022,COM,CB015BUS07,5,1,180,,False,81
2022,COM,CB015BUS08,1,1,131,,False,82
2022,COM,CB015BUS08,2,1,132,,False,82
2022,COM,CB015BUS08,3,1,126,,False,82
2022,COM,CB015BUS08,4,1,120,,False,83
2022,COM,CB015BUS08,5,1,156,,False,83
2022,COM,CB015BUS22,1,1,113,,False,69
2022,COM,CB015BUS22,2,1,108,,False,70
2022,COM,CB015BUS22,3,1,168,,False,70
2022,COM,CB015BUS22,4,1,180,,True,70
2022,COM,CB015BUS22,5,1,178,,False,71
2022,COM,CB015CSC05,1,1,113,,False,74
2022,COM,CB015CSC05,2,1,126,,False,74
2022,COM,CB015CSC05,3,1,126,,False,74
2022,COM,CB015CSC05,4,1,126,,False,74
2022,COM,CB015CSC05,5,1,160,,False,75
2022,COM,CB015ECO01,1,1,131,,False,77
2022,COM,CB015ECO01,2,1,126,,False,77
2022,COM,CB015ECO01,3,1,138,,False,77
2022,COM,CB015ECO01,4,1,90,,True,78
2022,COM,CB015ECO01,5,1,156,,False,78
2022,COM,CB015ECO03,1,1,131,,False,79
2022,COM,CB015ECO03,2,1,114,,False,79
2022,COM,CB015ECO03,3,1,126,,False,79
2022,COM,CB015ECO03,4,1,144,,False,79
2022,COM,CB015ECO03,5,1,156,,False,80
2022,COM,CB015FTX04,1,1,131,,False,72
2022,COM,CB015FTX04,2,1,126,,False,73
2022,COM,CB015FTX04,3,1,168,,False,73
2022,COM,CB015FTX04,4,1,144,,False,73
2022,COM,CB015FTX04,5,1,144,,False,73
2022,COM,CB015FTX05,1,1,131,,False,71
2022,COM,CB015FTX05,2,1,150,,False,71
2022,COM,CB015FTX05,3,1,90,,False,72
